rpe = 0.103481413507
stamp_est0        stamp_est1        stamp_gt0         stamp_gt1         trans_error  rot_error
1305031122.325500 1305031110.285800 1305031121.982926 1305031110.979345 0.101927 0.228862
1305031120.555600 1305031127.615400 1305031120.379437 1305031127.647358 0.041009 0.063521
1305031109.055700 1305031111.995700 1305031109.111282 1305031112.611261 0.252459 0.145702
1305031107.805700 1305031109.455800 1305031108.043418 1305031109.311329 0.056041 0.049868
1305031114.945600 1305031120.725600 1305031114.979280 1305031120.379437 0.126072 0.094576
1305031111.435700 1305031125.535500 1305031110.979345 1305031125.711443 0.100094 0.077411
1305031108.526500 1305031128.365600 1305031108.475471 1305031128.179350 0.115274 0.030528
1305031121.175600 1305031110.245700 1305031121.683200 1305031110.979345 0.120742 0.197227
1305031114.705700 1305031120.825600 1305031114.711306 1305031120.379437 0.139154 0.101407
1305031111.025700 1305031110.465800 1305031110.979345 1305031110.979345 0.071437 0.078213
1305031124.825500 1305031114.175700 1305031124.147446 1305031114.711306 0.177700 0.231734
1305031108.565800 1305031123.965600 1305031108.475471 1305031124.147446 0.174724 0.055993
1305031116.695700 1305031117.375700 1305031116.679281 1305031116.912044 0.178313 0.209639
1305031122.935600 1305031120.745700 1305031123.382255 1305031120.379437 0.034952 0.066204
1305031120.825600 1305031110.905800 1305031120.379437 1305031110.979345 0.147438 0.107533
1305031110.535700 1305031107.986600 1305031110.979345 1305031108.043418 0.050711 0.079876
1305031125.775500 1305031115.275700 1305031125.711443 1305031114.979280 0.062871 0.083937
1305031128.075600 1305031121.945600 1305031128.179350 1305031121.982926 0.135791 0.012112
1305031120.405600 1305031110.875700 1305031120.379437 1305031110.979345 0.106738 0.018474
1305031122.035600 1305031107.355800 1305031121.982926 1305031108.043418 0.110988 0.067851
1305031114.635700 1305031108.965800 1305031114.711306 1305031108.876515 0.231596 0.043652
1305031128.115500 1305031127.915500 1305031128.179350 1305031128.179350 0.011168 0.014623
1305031108.545800 1305031127.815500 1305031108.475471 1305031127.647358 0.121028 0.039795
1305031126.495500 1305031116.345700 1305031126.411465 1305031116.411333 0.100662 0.025643
1305031109.365800 1305031126.255500 1305031109.311329 1305031126.411465 0.106919 0.042220
1305031125.745500 1305031108.575900 1305031125.711443 1305031108.475471 0.142390 0.050989
1305031123.255500 1305031115.705600 1305031123.382255 1305031116.143441 0.080851 0.202839
1305031127.325600 1305031109.655700 1305031127.279465 1305031109.311329 0.082039 0.086127
1305031117.536100 1305031108.355800 1305031116.912044 1305031108.475471 0.138926 0.231829
1305031122.245600 1305031116.785600 1305031121.982926 1305031116.679281 0.054329 0.031799
1305031127.215500 1305031113.175700 1305031127.279465 1305031112.611261 0.072597 0.073672
1305031127.165500 1305031123.315600 1305031127.279465 1305031123.382255 0.026261 0.017354
1305031122.115600 1305031121.175600 1305031121.982926 1305031121.683200 0.135814 0.043766
1305031111.476000 1305031127.255500 1305031110.979345 1305031127.279465 0.084757 0.090863
1305031122.655600 1305031116.915700 1305031121.982926 1305031116.912044 0.147539 0.093762
1305031128.485500 1305031120.295600 1305031128.179350 1305031120.379437 0.064755 0.019478
