rpe = 0.118329433997
stamp_est0 	  stamp_est1 	    stamp_gt0 	      stamp_gt1 	trans_error rot_error
1305031115.115700 1305031103.345900 1305031115.111230 1305031103.143318 0.043816 0.064252
1305031119.945600 1305031112.905800 1305031119.879214 1305031112.743245 0.027967 0.043398
1305031119.105700 1305031121.565600 1305031118.879208 1305031121.583204 0.073773 0.034666
1305031105.635800 1305031121.615600 1305031106.143355 1305031121.583204 0.211638 0.097472
1305031114.545700 1305031116.205600 1305031114.644136 1305031116.080030 0.053011 0.098525
1305031110.645700 1305031101.725900 1305031110.679606 1305031102.175304 0.117020 0.082282
1305031106.235800 1305031107.165800 1305031106.143355 1305031107.575454 0.096584 0.119635
1305031122.525600 1305031107.825800 1305031122.314289 1305031108.011320 0.073059 0.040713
1305031108.955800 1305031114.665800 1305031108.711411 1305031114.644136 0.027738 0.052477
1305031103.565800 1305031111.205700 1305031103.143318 1305031111.179326 0.030084 0.076297
1305031107.355800 1305031114.355700 1305031107.575454 1305031114.343331 0.035385 0.045070
1305031115.975700 1305031117.575700 1305031116.080030 1305031118.179323 0.213079 0.031439
1305031114.705700 1305031111.085700 1305031114.644136 1305031111.179326 0.031782 0.013798
1305031117.795800 1305031110.865700 1305031118.179323 1305031110.679606 0.141265 0.033315
1305031122.115600 1305031122.405600 1305031122.314289 1305031122.314289 0.112653 0.077045
1305031107.425800 1305031109.915800 1305031107.575454 1305031109.275308 0.229369 0.137927
1305031117.625700 1305031103.375900 1305031118.179323 1305031103.143318 0.204052 0.080018
1305031119.675600 1305031110.205700 1305031119.547382 1305031110.679606 0.166458 0.143923
1305031116.495700 1305031102.845800 1305031116.443369 1305031103.143318 0.102841 0.027470
1305031118.805600 1305031109.385700 1305031118.879208 1305031109.275308 0.077121 0.063253
1305031112.935700 1305031111.215700 1305031113.079251 1305031111.179326 0.054433 0.017940
1305031113.065700 1305031119.605700 1305031113.079251 1305031119.547382 0.021303 0.022939
1305031108.205800 1305031118.325600 1305031108.211475 1305031118.179323 0.027616 0.046927
1305031119.345700 1305031121.015600 1305031119.547382 1305031121.583204 0.245184 0.032904
1305031119.755600 1305031120.575600 1305031119.879214 1305031120.415445 0.013776 0.066318
1305031105.465800 1305031121.305600 1305031106.143355 1305031121.583204 0.287789 0.113769
1305031107.295800 1305031101.825900 1305031107.575454 1305031102.175304 0.170995 0.166104
1305031112.586000 1305031108.565800 1305031112.743245 1305031108.443610 0.080933 0.087372
1305031103.705800 1305031111.415700 1305031103.143318 1305031111.179326 0.087985 0.089760
1305031112.175700 1305031120.025600 1305031112.411442 1305031119.879214 0.095215 0.060078
1305031114.485700 1305031102.535800 1305031114.343331 1305031102.175304 0.122434 0.097678
1305031122.445500 1305031110.425800 1305031122.314289 1305031110.679606 0.102720 0.131708
1305031122.965600 1305031110.445700 1305031123.311327 1305031110.679606 0.131016 0.121976
1305031105.265800 1305031104.545800 1305031104.775327 1305031104.611336 0.072473 0.067360
1305031117.905700 1305031103.865800 1305031118.179323 1305031103.143318 0.145222 0.061663
1305031117.085700 1305031117.135600 1305031116.779298 1305031116.779298 0.020592 0.031020
1305031119.905600 1305031114.125700 1305031119.879214 1305031114.043301 0.025079 0.047009
1305031109.355700 1305031112.505700 1305031109.275308 1305031112.411442 0.052180 0.061871
